"","Symbol","Date","High","Low","Open","Close","Volume"
"1","AAPL",2005-12-15,72.859999,71.349998,72.680001,72.180003,140290500
"2","AAPL",2005-12-16,72.299999,71.059998,72.140002,71.109999,167792800
"3","AAPL",2005-12-19,72.599999,71.039997,71.109999,71.379998,132323800
"4","AAPL",2005-12-20,72.380001,71.119999,71.629997,72.110002,119777000
"5","AAPL",2005-12-21,73.610003,72.539998,72.599999,73.5,118934200
"6","AAPL",2005-12-22,74.490003,73.600002,73.910003,74.019999,92652700
"7","AAPL",2005-12-23,74.259997,73.300002,74.170002,73.350003,57464400
"8","AAPL",2005-12-27,75.179998,73.949997,73.999998,74.229997,147647500
"9","AAPL",2005-12-28,74.760002,73.320003,74.470002,73.570002,99528800
"10","AAPL",2005-12-29,73.820001,71.419999,73.78,71.45,122506300
"11","AAPL",2005-12-30,72.430002,70.340001,70.910001,71.890003,156065700
"12","AAPL",2006-01-03,74.750002,72.249998,72.380001,74.750002,201808600
"13","AAPL",2006-01-04,75.979997,74.500003,75.129997,74.97,154900900
"14","AAPL",2006-01-05,74.899999,73.749999,74.829997,74.38,112355600
"15","AAPL",2006-01-06,76.7,74.549997,75.25,76.299997,176114400
"16","AAPL",2006-01-09,77.199998,75.739998,76.73,76.049998,168760200
"17","AAPL",2006-01-10,81.889998,75.83,76.250003,80.860002,569967300
"18","AAPL",2006-01-11,84.799998,82.590001,83.840003,83.899998,373448600
"19","AAPL",2006-01-12,86.400002,83.619998,84.970002,84.29,320202400
"20","AAPL",2006-01-13,86.009999,84.6,84.990003,85.590003,194076400
"21","AAPL",2006-01-17,86.380001,83.869997,85.699999,84.710003,208905900
"22","AAPL",2006-01-18,84.050001,81.849998,83.079999,82.489999,300159300
"23","AAPL",2006-01-19,81.66,78.74,81.249997,79.04,423962000
"24","AAPL",2006-01-20,80.040003,75.83,79.279999,76.089999,283689700
"25","AAPL",2006-01-23,79.559999,75.999997,76.099999,77.670002,264932500
"26","AAPL",2006-01-24,79.420002,75.769999,78.76,76.039998,285563600
"27","AAPL",2006-01-25,77.499998,73.250001,77.390002,74.200003,318946600
"28","AAPL",2006-01-26,75.429997,71.929997,74.529997,72.33,295346800
"29","AAPL",2006-01-27,73.600002,71.099998,72.950001,72.03,238466200
"30","AAPL",2006-01-30,76.599998,70.87,71.17,75.000001,349600300
"31","AAPL",2006-01-31,76.339998,73.749999,75.499999,75.509999,228385500
"32","AAPL",2006-02-01,76.460001,74.639999,74.95,75.419997,130296600
"33","AAPL",2006-02-02,75.360003,72.05,75.100003,72.100001,176830500
"34","AAPL",2006-02-03,72.789997,71.039997,72.239998,71.850002,173030900
"35","AAPL",2006-02-06,72.509997,66.739999,72.02,67.299998,412941900
"36","AAPL",2006-02-07,69.480001,66.679997,68.27,67.599998,347207700
"37","AAPL",2006-02-08,69.079999,66.000002,68.489999,68.809999,238278600
"38","AAPL",2006-02-09,69.230002,64.530002,69.099999,64.949998,287441000
"39","AAPL",2006-02-10,67.67,62.899998,65.180003,67.309999,440119400
"40","AAPL",2006-02-13,66.749999,64.639997,66.630003,64.709999,220874500
"41","AAPL",2006-02-14,68.100003,64.999999,65.100001,67.639999,290234700
"42","AAPL",2006-02-15,69.619998,66.749999,67.160002,69.220002,289942800
"43","AAPL",2006-02-16,71.010003,69.480001,69.909998,70.57,237043800
"44","AAPL",2006-02-17,70.89,69.609998,70.3,70.29,143999800
"45","AAPL",2006-02-21,70.799998,68.680003,70.59,69.079999,194901700
"46","AAPL",2006-02-22,71.669998,68.000001,68.999997,71.319997,244559700
"47","AAPL",2006-02-23,73.000002,71.429999,71.790001,71.75,214229400
"48","AAPL",2006-02-24,72.889999,71.200001,72.140002,71.46,133686000
"49","AAPL",2006-02-27,72.120002,70.650002,71.989999,70.990003,197810200
"50","AAPL",2006-02-28,72.400002,68.100003,71.580003,68.489999,316745100
"51","AAPL",2006-03-01,69.490002,68.020001,68.84,69.099999,190954400
"52","AAPL",2006-03-02,69.99,68.670003,68.989997,69.609998,156318400
"53","AAPL",2006-03-03,69.909998,67.529997,69.4,67.720001,184417100
"54","AAPL",2006-03-06,67.720001,64.939998,67.690001,65.479997,228166400
"55","AAPL",2006-03-07,66.900002,65.080001,65.760003,66.310002,218219400
"56","AAPL",2006-03-08,67.200003,65.35,66.290002,65.660001,163312800
"57","AAPL",2006-03-09,66.469999,63.809999,65.980001,63.930001,199826200
"58","AAPL",2006-03-10,64.490001,62.450001,64.049997,63.189998,260785700
"59","AAPL",2006-03-13,66.280002,64.790001,65.05,65.680001,215296900
"60","AAPL",2006-03-14,67.319999,65.499997,65.770003,67.319999,160505100
"61","AAPL",2006-03-15,68.040002,65.519998,67.710001,66.23,222999000
"62","AAPL",2006-03-16,66.900002,64.300003,66.850001,64.310003,187409600
"63","AAPL",2006-03-17,65.539998,64.109999,64.75,64.659998,203010500
"64","AAPL",2006-03-20,65.460003,63.87,65.219997,63.990003,151360300
"65","AAPL",2006-03-21,64.339997,61.390003,61.809999,61.809999,336341600
"66","AAPL",2006-03-22,63.249999,61.27,62.160001,61.670003,336473900
"67","AAPL",2006-03-23,61.900002,59.610003,61.82,60.160002,356956600
"68","AAPL",2006-03-24,60.94,59.030003,60.249997,59.959997,267995000
"69","AAPL",2006-03-27,61.380003,59.399998,60.349999,59.51,277018000
"70","AAPL",2006-03-28,60.140001,58.249998,59.630003,58.710002,342580700
"71","AAPL",2006-03-29,62.520002,57.669998,59.129998,62.329998,586708500
"72","AAPL",2006-03-30,63.3,61.53,62.820003,62.750001,347662700
"73","AAPL",2006-03-31,63.610001,62.240003,63.249999,62.72,203839300
"74","AAPL",2006-04-03,64.119999,62.609998,63.670002,62.649999,203947800
"75","AAPL",2006-04-04,62.220002,61.050002,62.099999,61.169998,232981000
"76","AAPL",2006-04-05,67.210003,64.15,64.709999,67.210003,558352200
"77","AAPL",2006-04-06,72.05,68.199999,68.300001,71.240002,665942200
"78","AAPL",2006-04-07,71.210001,68.469998,70.930001,69.790002,386309700
"79","AAPL",2006-04-10,70.930001,68.449998,70.29,68.670003,225878800
"80","AAPL",2006-04-11,69.299997,67.07,68.989997,67.990001,234829000
"81","AAPL",2006-04-12,68.169998,66.300002,68.010001,66.709998,184973600
"82","AAPL",2006-04-13,67.440001,65.809998,66.340003,66.469999,183669500
"83","AAPL",2006-04-17,66.840001,64.349998,66.51,64.810001,180484500
"84","AAPL",2006-04-18,66.469999,64.790001,65.04,66.22,198711100
"85","AAPL",2006-04-19,66.999998,65.470003,66.820001,65.650001,271508300
"86","AAPL",2006-04-20,70,66.2,69.510002,67.629999,416745700
"87","AAPL",2006-04-21,68.640002,66.469999,68.189999,67.039999,197246700
"88","AAPL",2006-04-24,66.920003,65.499997,66.850001,65.750003,176757000
"89","AAPL",2006-04-25,66.590002,65.559999,65.960001,66.169999,132265700
"90","AAPL",2006-04-26,68.280001,66.399998,66.649997,68.149998,177721600
"91","AAPL",2006-04-27,69.859997,67.349999,67.730001,69.359999,211486800
"92","AAPL",2006-04-28,71.300003,69.200002,69.379999,70.390002,190009400
"93","AAPL",2006-05-01,71.540002,69.160001,70.769998,69.599998,187595100
"94","AAPL",2006-05-02,71.979999,70.110003,70.149997,71.619997,192915800
